nama_sekolah,npsn,bp,status,pd,guru,kecamatan ,wilayah 
SMP Baptis Elim,20106742,SMP,Swasta,33,7,Grogol Petamburan,Jakarta Barat
SMP Bhara Trikora,20106745,SMP,Swasta,71,2,Grogol Petamburan,Jakarta Barat
SMP BUNDA HATI KUDUS,20109239,SMP,Swasta,330,22,Grogol Petamburan,Jakarta Barat
SMP Duta Mas,20106770,SMP,Swasta,186,5,Grogol Petamburan,Jakarta Barat
SMP FATACHILAH,20109482,SMP,Swasta,367,10,Grogol Petamburan,Jakarta Barat
SMP GALATIA 2,20106791,SMP,Swasta,21,6,Grogol Petamburan,Jakarta Barat
SMP HATI KUDUS,20106798,SMP,Swasta,141,10,Grogol Petamburan,Jakarta Barat
SMP ISLAM AL ISRA,20106804,SMP,Swasta,370,12,Grogol Petamburan, Jakarta Barat
SMP ISLAM ASSAADATUL ABADIYAH,20109071,SMP,Swasta,465,17,Grogol Petamburan,Jakarta Barat
SMP KRISTEN ALMA SIH,20106736,SMP,Swasta,72,5,Grogol Petamburan,Jakarta Barat
SMP KRISTEN IMMANUEL,20106801,SMP,Swasta,101,3,Grogol Petamburan,Jakarta Barat
SMP KRISTEN PANCARAN BERKAT,20106851,SMP,Swasta,143,11,Grogol Petamburan,Jakarta Barat
SMP Maarif,20106834,SMP,Swasta,258,13,Grogol Petamburan,Jakarta Barat
SMP MUHAMMADIYAH 12,20106840,SMP,Swasta,98,9,Grogol Petamburan,Jakarta Barat
SMP Muhammadiyah 33,20106843,SMP,Swasta,213,11,Grogol Petamburan,Jakarta Barat
SMP MUTIARA BANGSA 3,20109331,SMP,Swasta,191,20,Grogol Petamburan,Jakarta Barat
SMP Riyadihul Mukminin,20106868,SMP,Swasta,64,5,Grogol Petamburan,Jakarta Barat
SMP Samaria,20106870,SMP,Swasta,28,6,Grogol Petamburan,Jakarta Barat
SMP Santo Kristoforus I,20106874,SMP,Swasta,287,17,Grogol Petamburan,Jakarta Barat
SMP TAMAN HARAPAN INDAH,20106885,SMP,Swasta,107,4,Grogol Petamburan,Jakarta Barat
SMP Tanjung,20106887,SMP,Swasta,257,5,Grogol Petamburan,Jakarta Barat
SMP TUNAS HARAPAN,20106898,SMP,Swasta,406,12,Grogol Petamburan,Jakarta Barat
SMP YP. Bank Dagang Negara,20106904,SMP,Swasta,204,9,Grogol Petamburan,Jakarta Barat
SMP NEGERI 159 JAKARTA,20101576,SMP,Negeri,599,23,Tambora,Jakarta Barat
SMP Negeri 32,20101546,SMP,Negeri,818,36,Tambora,Jakarta Barat
SMP NEGERI 63,20101542,SMP,Negeri,705,37,Tambora,Jakarta Barat
SMP BHINNEKA TUNGGAL IKA,20106746,SMP,Swasta,141,8,Tambora,Jakarta Barat
SMP BUDAYA,20106751,SMP,Swasta,149,13,Tambora,Jakarta Barat
